FID,sample_effort_id,survey_date,project_name,observers,observers_affiliation,observers_secondary_affiliation,site_code,original_site_code,visit_type,revisit,area_surveyed,study_type,viereck_code,viereck_name,disturbance_type,location,latitude,longitude,elevation,quad_name,quad_number,collection_method,precision,map_source,map_scale,map_date,location_notes,usda_name_code,presence,usda_name_2,scientific_name,common_name,family,rank_code,infested_area,canopy_cover,stem_count,estimated_years_of_disturbance,herbarium,control_action,aggressiveness,species_notes,project_description,project_method,project_discussion,data_type
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2dcc,345233,8/30/2010,Elodea survey,"Lisuzzo, N.; Wurtz, T.",USFS,,,,,no,60,Single species study,,,,POINT (-147.437525 64.817492),64.817492,-147.437525,,,,GPS,0-100,,,,"Chena slough, Northpole AK, from Nordale Rd. to Persinger Rd. (AKA Badgar Slough)",ELODE,TRUE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,1,60,N/A,,ALA,None,High,"Infested area=30+; Herbarium= UAF, UAA. Specimens were deposited in the UAF Herbarium (2009) and the Alaska Natural Heritage Program (2010) from this location.",,,"Updated from AKEPIC ID 252073; Specimen ID was conducted by Dr. Donald Les and Dr. Elen Peredo at the CONN Herbarium, University of Connecticut using genetic techniques. Specimen was determined morphologically to be E. canadensis, though genetically determined to be E. nuttallii.",
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2dcb,364431,7/9/2011,Anchorage Elodea Surveys,"Rich, C.",USFWS,,,,,,,Single species study,,,,POINT (-149.95518 61.1638),61.1638,-149.95518,,,,Other,0-1000,Google maps,,,Delong Lake park,ELODE,TRUE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,16,80,,,Not Curated,,High,photos taken,,Infested acres and percent cover are estimates; more accurate assesment will be done in future,Surveyed only for Elodea spp.,
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2dca,364430,7/9/2011,Anchorage Elodea Surveys,"Rich, C.",USFWS,,,,,,,Single species study,,,,POINT (-149.9573 61.15231),61.15231,-149.9573,,,,Other,0-1000,Google maps,,,Sand Lake at city park adjacent behind elementary school,ELODE,TRUE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,34,50,,,Not Curated,,High,photos taken,,Infested acres and percent cover are estimates; more accurate assesment will be done in future,Surveyed only for Elodea spp.,
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2dc9,256273,7/12/2011,Fairbanks Elodea survey,"Peek, R.; Medinger, L.; Sharp, T.; Chardon, K.",CWMA,,CHSL11-001,,,no,0.5,Single species study,,,,POINT (-147.41173 64.81419),64.81419,-147.41173,,,,GPS,0-30,,,,Nordale Rd. Crossing of Chena Slough,ELODE,TRUE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0.5,15,,,None,,,Elodea nuttallii; Cover class 2: 6-25% cover,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,,
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2dc8,253207,7/14/2011,Fairbanks Elodea survey,"Peek, R.; Medinger, L.; Sharp, T.; Chardon, K.",CWMA,,CHSL11-002,,,no,0.5,Single species study,,,,POINT (-147.38634 64.7912),64.7912,-147.38634,,,,GPS,0-30,,,,Chena Slough Crossing of Repp Rd (upstream),ELODE,TRUE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0.5,50,,,None,,,Elodea nuttallii; Cover class 3: 26-75% cover,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,,
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2dc7,254347,7/14/2011,Fairbanks Elodea survey,"Peek, R.; Medinger, L.; Sharp, T.; Chardon, K.",CWMA,,CHSL11-003,,,no,0.5,Single species study,,,,POINT (-147.38657 64.79132),64.79132,-147.38657,,,,GPS,0-30,,,,Road crossing Repp Rd downstream,ELODE,TRUE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0.5,80,,,None,,,Elodea nuttallii; Cover class 4: >75% cover,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,,
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2dc6,521248,7/15/2011,Fairbanks Elodea survey,"Medinger, L.; Sharp, T.; Peek, R.",SWCD,,CHSL11-008,,Reconnaissance,no,0.5,Single species study,,,,POINT (-147.349988 64.757246),64.757246,-147.349988,,,,GPS,0-30,,,,McDonald's at Richardson Highway,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2dc5,521246,7/15/2011,Fairbanks Elodea survey,"Peek, R.; Medinger, L.; Sharp, T.; Chardon, K.",SWCD,,CHSL11-007,,Reconnaissance,no,0.25,Single species study,,,,POINT (-147.34853 64.76035),64.76035,-147.34853,,,,GPS,0-30,,,,Doughchee Bridge over little beaver creek (downstream),ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,ELNU2 not found at this site,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2dc4,521245,7/15/2011,Fairbanks Elodea survey,"Peek, R.; Medinger, L.; Sharp, T.; Chardon, K.",SWCD,,CHSL11-004,,Reconnaissance,no,0.5,Single species study,,,,POINT (-147.34383 64.76263),64.76263,-147.34383,,,,GPS,0-30,,,,Hurst Rd. @ Sourdough Fuel,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,ELNU2 not found at this site,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2dc3,521244,7/15/2011,Fairbanks Elodea survey,"Peek, R.; Medinger, L.; Sharp, T.; Chardon, K.",SWCD,,CHSL11-005,,Reconnaissance,no,0.5,Single species study,,,,POINT (-147.3443 64.76233),64.76233,-147.3443,,,,GPS,0-30,,,,Hurst Rd. @ Sourdough Fuel,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,ELNU2 not found at this site,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
