"","zoomLevel","orderCreat","trackName","boatLaunch","trackFrequ","trackFre_1","primaryPur","rank","responseID","km","StartDate","EndDate","IPAddress","Progress","Duration.s","Finished","RecordedDate","LocationLatitude","LocationLongitude","operateType","percentCom","percentGov","operateFresh","operateMarine","pax","hCostHigh","hCostLow","freshOutside","locOutside","purchaseOutside","purchaseYear","purchaseType","purchaseLoc","multiOwn","multiOwnEmail","age","persIncomeBtax","Clean","sportfishConc","boatingSafetyConc","recValueConc","businessConc","realEstateConc","subsistConc","biodivConc","commFishConc","volunteer","emailAsk","ObjectId","Shape__Length","wasInElodea","elodeaLoc1","elodeaLoc2","elodeaLoc3","LowerPre","UpperPre","freqPre","LowerPost","UpperPost","freqPost","hCost","totalKmPre","totalKmPost","YrCostPre","YrCostPost","totalTripsPre","totalTripsPost","routeCount","Income","ageBin","percentPer","type"
"1",12,2,"Eagle River swift water rescue training","inStateFreshwater","Up to 4","Up to 4","Other",1,"R_1FkCiQmxzOZRDev",0.8604494,"8/28/2018 12:31","8/28/2018 12:48","209.193.41.50",100,1031,TRUE,"8/28/2018 12:48",61.1454,-149.7664,"I operate boats as an employee of a government agency",0,0.1,"Yes","Yes",4,240,240,"No or did not report","","No",NA,"","","No","",52,"$100,001 - $125,000","100% of the time",5,1,2,NA,NA,4,3,NA,"","",1,1784.440393,"No","","","",1,4,2,1,4,2,240,1.7208988,1.7208988,413.015712,413.015712,2,2,1,112500,"51-60",0.9,"personal"
"2",12,1,"Burkeshore to cabin","inStateFreshwater","21 to 30","21 to 30","Cabin",1,"R_xsZTdg5cBYfKlMJ",6.909867,"8/28/2018 15:20","8/28/2018 15:30","24.237.86.140",100,571,TRUE,"8/28/2018 15:30",61.112,-149.9044,"I operate boat(s) for personal reasons",0,0,"Yes","No",4,NA,NA,"No or did not report","","No",NA,"","","No","",57,"More than $250,000","100% of the time",5,1,3,4,4,4,4,4,"Reporting: keeping an eye out for invasive plants and animals after each boat trip and report sightings?(Note, convenient and user-friendly reporting tools are available, such as smart phone apps.)","gaveEmail",2,14513.82984,"No","","","",21,30,26,21,30,26,NA,179.656542,179.656542,NA,NA,26,26,1,NA,"51-60",1,"personal"
"3",12,1,"johnson lake","inStateFreshwater","Up to 4","Up to 4","Sport Fishing",1,"R_2TZwaGf0QiWDAFd",1.497698,"8/28/2018 16:26","8/28/2018 16:35","24.237.94.7",100,557,TRUE,"8/28/2018 16:35",61.5235,-149.5748,"I operate boat(s) for personal reasons",0,0,"Yes","Yes",2,0,0,"No or did not report","","No",NA,"","","No","",50,"$125,001 - $150,000","Less than 100% of the time",5,1,1,1,4,2,1,3,"Reporting: keeping an eye out for invasive plants and animals after each boat trip and report sightings?(Note, convenient and user-friendly reporting tools are available, such as smart phone apps.)","gaveEmail",3,3012.29166,"No","","","",1,4,2,1,4,2,0,2.995396,2.995396,0,0,6,6,3,137500,"41-50",1,"personal"
"4",12,2,"hidden lake","outOfStateFreshwater","Up to 4","Up to 4","Sport Fishing",2,"R_2TZwaGf0QiWDAFd",5.383555,"8/28/2018 16:26","8/28/2018 16:35","24.237.94.7",100,557,TRUE,"8/28/2018 16:35",61.5235,-149.5748,"I operate boat(s) for personal reasons",0,0,"Yes","Yes",2,0,0,"No or did not report","","No",NA,"","","No","",50,"$125,001 - $150,000","Less than 100% of the time",5,1,1,1,4,2,1,3,"Reporting: keeping an eye out for invasive plants and animals after each boat trip and report sightings?(Note, convenient and user-friendly reporting tools are available, such as smart phone apps.)","gaveEmail",4,10906.53308,"No","","","",1,4,2,1,4,2,0,10.76711,10.76711,0,0,6,6,3,137500,"41-50",1,"personal"
"5",12,3,"summit lake","outOfStateFreshwater","Up to 4","Up to 4","Sport Fishing",3,"R_2TZwaGf0QiWDAFd",3.020118,"8/28/2018 16:26","8/28/2018 16:35","24.237.94.7",100,557,TRUE,"8/28/2018 16:35",61.5235,-149.5748,"I operate boat(s) for personal reasons",0,0,"Yes","Yes",2,0,0,"No or did not report","","No",NA,"","","No","",50,"$125,001 - $150,000","Less than 100% of the time",5,1,1,1,4,2,1,3,"Reporting: keeping an eye out for invasive plants and animals after each boat trip and report sightings?(Note, convenient and user-friendly reporting tools are available, such as smart phone apps.)","gaveEmail",5,6141.101611,"No","","","",1,4,2,1,4,2,0,6.040236,6.040236,0,0,6,6,3,137500,"41-50",1,"personal"
"6",8,1,"lake louise","inStateFreshwater","5 to 10","5 to 10","Cabin",1,"R_WvMmm0jXvxLZuUN",10.45089,"8/28/2018 16:32","8/28/2018 16:42","66.223.216.247",100,593,TRUE,"8/28/2018 16:42",61.112,-149.9044,"I operate boat(s) for personal reasons",0,0,"Yes","No",4,10,10,"No or did not report","","No",NA,"","","No","",76,"$50,001 - $75,000","100% of the time",5,5,5,1,5,5,5,1,"","gaveEmail",6,22394.09496,"No","","","",5,10,8,5,10,8,10,83.60712,83.60712,836.0712,836.0712,8,8,1,62500,"71-80",1,"personal"
"7",12,1,"Airport to 8-mi Slough","inStateFreshwater","Up to 4","5 to 10","Sport Fishing",1,"R_24iOeqwvtePvpEs",1.472625,"8/28/2018 17:11","8/28/2018 17:39","206.174.49.198",100,1668,TRUE,"8/28/2018 17:39",61.2059,-149.8232,"I operate boat(s) for personal reasons",0,0,"Yes","No",3,30,15,"No or did not report","","No",NA,"","","No","",70,"$100,001 - $125,000","100% of the time",5,3,5,3,3,3,3,4,"","gaveEmail",7,3119.640328,"No","","","",1,4,2,5,10,8,22.5,2.94525,11.781,66.268125,265.0725,2,8,1,112500,"61-70",1,"personal"
"8",8,1,"JIMS/UPPER SKILAK","inStateFreshwater","Up to 4","Up to 4","Sport Fishing",1,"R_3lGohtryMXElyFn",11.81785,"8/28/2018 19:25","8/28/2018 19:42","72.35.99.234",100,1011,TRUE,"8/28/2018 19:42",61.2149,-149.2583,"I operate boat(s) for personal reasons",0,0,"Yes","No",1,NA,NA,"No or did not report","","No",NA,"","","No","",58,"$50,001 - $75,000","Less than 100% of the time",3,1,1,1,1,1,1,1,"","",8,23981.25731,"No","","","",1,4,2,1,4,2,NA,23.6357,23.6357,NA,NA,2,2,1,62500,"51-60",1,"personal"
"9",12,1,"MIddle Kenai RIver Dow Island to Skilak Lake","outOfStateFreshwater","11 to 20","11 to 20","Sport Fishing",1,"R_1gjfOLZSD1PRB2f",18.25321,"8/29/2018 8:09","8/29/2018 8:27","209.165.150.234",100,1082,TRUE,"8/29/2018 8:27",61.1454,-149.7664,"I operate boat(s) for personal reasons",0,0,"Yes","No",2,45,35,"No or did not report","","No",NA,"","","No","",60,"$150,001 - $200,000","100% of the time",5,3,3,1,2,2,2,1,"","",9,37018.41694,"No","","","",11,20,16,11,20,16,40,292.05136,292.05136,11682.0544,11682.0544,34,34,3,175000,"51-60",1,"personal"
"10",12,2,"Middle Kenai RIver","inStateFreshwater","11 to 20","11 to 20","Sport Fishing",2,"R_1gjfOLZSD1PRB2f",5.623079,"8/29/2018 8:09","8/29/2018 8:27","209.165.150.234",100,1082,TRUE,"8/29/2018 8:27",61.1454,-149.7664,"I operate boat(s) for personal reasons",0,0,"Yes","No",2,45,35,"No or did not report","","No",NA,"","","No","",60,"$150,001 - $200,000","100% of the time",5,3,3,1,2,2,2,1,"","",10,11406.17483,"No","","","",11,20,16,11,20,16,40,89.969264,89.969264,3598.77056,3598.77056,34,34,3,175000,"51-60",1,"personal"
