"","StartDate","EndDate","Progress","Duration.s","Finished","RecordedDate","responseID","LocationLatitude","LocationLongitude","percentCom","percentGov","operateFresh","operateMarine","wasInElodea","pax","hCostHigh","hCostLow","freshOutside","locOutside","purchaseOutside","purchaseYear","purchaseType","purchaseLoc","multiOwn","multiOwnEmail","age","Clean","sportfishConc","boatingSafetyConc","recValueConc","businessConc","realEstateConc","subsistConc","biodivConc","commFishConc","volunteer","emailAsk","percentPer","Income","ageBin","type"
"1","8/28/2018 12:31","8/28/2018 12:48",100,1031,TRUE,"8/28/2018 12:48","R_1FkCiQmxzOZRDev",61.145401,-149.7664032,0,0.1,"Yes","Yes","No","4",240,240,"No or did not report","","No",NA,"Not known","Not known","No","",52,"100% of the time",5,1,2,NA,NA,4,3,NA,"","",0.9,112500,"51-60","personal"
"2","8/28/2018 14:21","8/28/2018 14:22",100,52,TRUE,"8/28/2018 14:22","R_2ts39neDOF8rHk1",61.18859863,-149.8878021,0,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"Not known","Not known","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"3","8/28/2018 15:17","8/28/2018 15:17",100,25,TRUE,"8/28/2018 15:17","R_aboh3Edrotju1Gh",61.145401,-149.7664032,0,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"Not known","Not known","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"4","8/28/2018 15:20","8/28/2018 15:30",100,571,TRUE,"8/28/2018 15:30","R_xsZTdg5cBYfKlMJ",61.11199951,-149.9044037,0,0,"Yes","No","No","4",NA,NA,"No or did not report","","No",NA,"Not known","Not known","No","",57,"100% of the time",5,1,3,4,4,4,4,4,"Reporting: keeping an eye out for invasive plants and animals after each boat trip and report sightings?(Note, convenient and user-friendly reporting tools are available, such as smart phone apps.)","gaveEmail",1,87500,"51-60","personal"
"5","8/28/2018 16:17","8/28/2018 16:19",100,125,TRUE,"8/28/2018 16:19","R_eY9qsmW6UmKC2ml",61.22309875,-149.8527985,0.1,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"Not known","Not known","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",0.9,87500,NA,"personal"
"6","8/28/2018 16:20","8/28/2018 16:21",100,40,TRUE,"8/28/2018 16:21","R_88rGFQqxvI0SFnr",61.22309875,-149.8527985,0,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"Not known","Not known","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"7","8/28/2018 16:26","8/28/2018 16:35",100,557,TRUE,"8/28/2018 16:35","R_2TZwaGf0QiWDAFd",61.52349854,-149.5747986,0,0,"Yes","Yes","No","2",0,0,"No or did not report","","No",NA,"Not known","Not known","No","",50,"Less than 100% of the time",5,1,1,1,4,2,1,3,"Reporting: keeping an eye out for invasive plants and animals after each boat trip and report sightings?(Note, convenient and user-friendly reporting tools are available, such as smart phone apps.)","gaveEmail",1,137500,"41-50","personal"
"8","8/28/2018 16:32","8/28/2018 16:42",100,593,TRUE,"8/28/2018 16:42","R_WvMmm0jXvxLZuUN",61.11199951,-149.9044037,0,0,"Yes","No","No","4",10,10,"No or did not report","","No",NA,"Not known","Not known","No","",76,"100% of the time",5,5,5,1,5,5,5,1,"","gaveEmail",1,62500,"71-80","personal"
"9","8/28/2018 17:11","8/28/2018 17:39",100,1668,TRUE,"8/28/2018 17:39","R_24iOeqwvtePvpEs",61.2059021,-149.8231964,0,0,"Yes","No","No","3",30,15,"No or did not report","","No",NA,"Not known","Not known","No","",70,"100% of the time",5,3,5,3,3,3,3,4,"","gaveEmail",1,112500,"61-70","personal"
"10","8/28/2018 19:02","8/28/2018 19:03",100,46,TRUE,"8/28/2018 19:03","R_3jeCjUmlr0SYjd5",61.08070374,-149.7091064,0,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"Not known","Not known","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"11","8/28/2018 19:25","8/28/2018 19:42",100,1011,TRUE,"8/28/2018 19:42","R_3lGohtryMXElyFn",61.21490479,-149.2583008,0,0,"Yes","No","No","1",NA,NA,"No or did not report","","No",NA,"Not known","Not known","No","",58,"Less than 100% of the time",3,1,1,1,1,1,1,1,"","",1,62500,"51-60","personal"
