StartDate,EndDate,IPAddress,Progress,Duration.s,Finished,RecordedDate,responseID,LocationLatitude,LocationLongitude,operateType,percentCom,percentGov,operateFresh,operateMarine,wasInElodea,pax,hCostHigh,hCostLow,freshOutside,locOutside,purchaseOutside,purchaseYear,purchaseType,purchaseLoc,multiOwn,multiOwnEmail,age,persIncomeBtax,CleanDrainDry,sportfishConc,boatingSafetyConc,recValueConc,businessConc,realEstateConc,subsistConc,biodivConc,commFishConc,volunteer,emailAsk,mapResponses
8/28/2018 12:31,8/28/2018 12:48,209.193.41.50,100,1031,TRUE,8/28/2018 12:48,R_1FkCiQmxzOZRDev,61.145401,-149.7664032,I operate boats as an employee of a government agency,,10%,Yes,Yes,I DID NOT operate a boat in any of the waterbodies listed,4,240,240,No,,No,,,,No,,52,"$100,001 - $125,000",Every time,5,1,2,,,4,3,,,,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{""zoomLevel"":12,""orderCreated"":2,""trackName"":""Eagle River swift water rescue training"",""boatLaunchTransport"":""inStateFreshwater"",""trackFrequency"":""Up to 4"",""trackFrequencyWithElodea"":""Up to 4"",""primaryPurpose"":""Other"",""rank"":1},""geometry"":{""type"":""LineString"",""coordinates"":[[-149.57336425781253,61.317395371153026],[-149.57611083984378,61.3098145646709]]}}]}"
8/28/2018 14:21,8/28/2018 14:22,66.58.135.10,100,52,TRUE,8/28/2018 14:22,R_2ts39neDOF8rHk1,61.18859863,-149.8878021,,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
8/28/2018 15:17,8/28/2018 15:17,24.237.84.180,100,25,TRUE,8/28/2018 15:17,R_aboh3Edrotju1Gh,61.145401,-149.7664032,I operate boat(s) for personal reasons,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
8/28/2018 15:20,8/28/2018 15:30,24.237.86.140,100,571,TRUE,8/28/2018 15:30,R_xsZTdg5cBYfKlMJ,61.11199951,-149.9044037,I operate boat(s) for personal reasons,,,Yes,No,I DID NOT operate a boat in any of the waterbodies listed,4,,,No,,No,,,,No,,57,"More than $250,000",Every time,5,1,3,4,4,4,4,4,"Reporting: keeping an eye out for invasive plants and animals after each boat trip and report sightings?(Note, convenient and user-friendly reporting tools are available, such as smart phone apps.)",gaveEmail,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{""zoomLevel"":12,""orderCreated"":1,""trackName"":""Burkeshore to cabin"",""boatLaunchTransport"":""inStateFreshwater"",""trackFrequency"":""21 to 30"",""trackFrequencyWithElodea"":""21 to 30"",""primaryPurpose"":""Cabin"",""rank"":1},""geometry"":{""type"":""LineString"",""coordinates"":[[-149.83377456665042,61.5413511367274],[-149.9638938903809,61.5374244485904]]}}]}"
8/28/2018 16:17,8/28/2018 16:19,66.58.206.80,100,125,TRUE,8/28/2018 16:19,R_eY9qsmW6UmKC2ml,61.22309875,-149.8527985,"I operate boat(s) for personal reasons,I operate boat(s) commercially",10%,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
8/28/2018 16:20,8/28/2018 16:21,66.58.206.80,100,40,TRUE,8/28/2018 16:21,R_88rGFQqxvI0SFnr,61.22309875,-149.8527985,I operate boat(s) for personal reasons,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
8/28/2018 16:26,8/28/2018 16:35,24.237.94.7,100,557,TRUE,8/28/2018 16:35,R_2TZwaGf0QiWDAFd,61.52349854,-149.5747986,I operate boat(s) for personal reasons,,,Yes,Yes,I DID NOT operate a boat in any of the waterbodies listed,2,0,0,No,,No,,,,No,,50,"$125,001 - $150,000",25% of the time,5,1,1,1,4,2,1,3,"Reporting: keeping an eye out for invasive plants and animals after each boat trip and report sightings?(Note, convenient and user-friendly reporting tools are available, such as smart phone apps.)",gaveEmail,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{""zoomLevel"":12,""orderCreated"":1,""trackName"":""johnson lake"",""boatLaunchTransport"":""inStateFreshwater"",""trackFrequency"":""Up to 4"",""trackFrequencyWithElodea"":""Up to 4"",""primaryPurpose"":""Sport Fishing"",""rank"":1},""geometry"":{""type"":""LineString"",""coordinates"":[[-151.26731872558597,60.29531950952105],[-151.26251220703128,60.28868389887231],[-151.26731872558597,60.28851373729874],[-151.26594543457034,60.292427229444954]]}},{""type"":""Feature"",""properties"":{""zoomLevel"":12,""orderCreated"":2,""trackName"":""hidden lake"",""boatLaunchTransport"":""outOfStateFreshwater"",""trackFrequency"":""Up to 4"",""trackFrequencyWithElodea"":""Up to 4"",""primaryPurpose"":""Sport Fishing"",""rank"":2},""geometry"":{""type"":""LineString"",""coordinates"":[[-150.20482867956164,60.46850689784903],[-150.2250847220421,60.47815125732298],[-150.23813098669052,60.48271863779153],[-150.23298114538193,60.486439731653874],[-150.2189049124718,60.478997117034446],[-150.20620197057727,60.474767597948684],[-150.20345538854602,60.47070674091644]]}},{""type"":""Feature"",""properties"":{""zoomLevel"":12,""orderCreated"":3,""trackName"":""summit lake"",""boatLaunchTransport"":""outOfStateFreshwater"",""trackFrequency"":""Up to 4"",""trackFrequencyWithElodea"":""Up to 4"",""primaryPurpose"":""Sport Fishing"",""rank"":3},""geometry"":{""type"":""LineString"",""coordinates"":[[-149.49999377131462,60.63663179849864],[-149.50411364436152,60.63124423919708],[-149.50960680842402,60.62737137482423],[-149.51578661799434,60.62568737566182],[-149.51544329524043,60.630233971595715],[-149.5085768401623,60.635116638442355],[-149.50377032160762,60.63629510241808]]}}]}"
8/28/2018 16:32,8/28/2018 16:42,66.223.216.247,100,593,TRUE,8/28/2018 16:42,R_WvMmm0jXvxLZuUN,61.11199951,-149.9044037,I operate boat(s) for personal reasons,,,Yes,No,I DID NOT operate a boat in any of the waterbodies listed,4,10,10,No,,No,,,,No,,76,"$50,001 - $75,000",Every time,5,5,5,1,5,5,5,1,,gaveEmail,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{""zoomLevel"":8,""orderCreated"":1,""trackName"":""lake louise"",""boatLaunchTransport"":""inStateFreshwater"",""trackFrequency"":""5 to 10"",""trackFrequencyWithElodea"":""5 to 10"",""primaryPurpose"":""Cabin"",""rank"":1},""geometry"":{""type"":""LineString"",""coordinates"":[[-146.48549124598506,62.25314431054092],[-146.44154593348506,62.305679223937666],[-146.46351858973506,62.34139959247798]]}}]}"
8/28/2018 17:11,8/28/2018 17:39,206.174.49.198,100,1668,TRUE,8/28/2018 17:39,R_24iOeqwvtePvpEs,61.2059021,-149.8231964,I operate boat(s) for personal reasons,,,Yes,No,I DID NOT operate a boat in any of the waterbodies listed,3,30,15,No,,No,,,,No,,70,"$100,001 - $125,000",Every time,5,3,5,3,3,3,3,4,,gaveEmail,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{""zoomLevel"":12,""orderCreated"":1,""trackName"":""Airport to 8-mi Slough"",""boatLaunchTransport"":""inStateFreshwater"",""trackFrequency"":""Up to 4"",""trackFrequencyWithElodea"":""5 to 10"",""primaryPurpose"":""Sport Fishing"",""rank"":1},""geometry"":{""type"":""LineString"",""coordinates"":[[-151.18701553554274,61.963811790968165],[-151.18220901698805,61.958001856706495],[-151.18220901698805,61.96494137195364]]}}]}"
8/28/2018 19:02,8/28/2018 19:03,24.237.67.165,100,46,TRUE,8/28/2018 19:03,R_3jeCjUmlr0SYjd5,61.08070374,-149.7091064,I operate boat(s) for personal reasons,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
8/28/2018 19:25,8/28/2018 19:42,72.35.99.234,100,1011,TRUE,8/28/2018 19:42,R_3lGohtryMXElyFn,61.21490479,-149.2583008,I operate boat(s) for personal reasons,,,Yes,No,I DID NOT operate a boat in any of the waterbodies listed,1,,,No,,No,,,,No,,58,"$50,001 - $75,000",Never,3,1,1,1,1,1,1,1,,,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{""zoomLevel"":8,""orderCreated"":1,""trackName"":""JIMS/UPPER SKILAK"",""boatLaunchTransport"":""inStateFreshwater"",""trackFrequency"":""Up to 4"",""trackFrequencyWithElodea"":""Up to 4"",""primaryPurpose"":""Sport Fishing"",""rank"":1},""geometry"":{""type"":""LineString"",""coordinates"":[[-150.11169433593753,60.47346492719931],[-150.31494140625003,60.43825253400385]]}}]}"
