OWNER.NAME.COMPANY.1,ADDR.MAIL.STREET,ADDR.MAIL.EXTRA.LINE,ADDR.MAIL.CITY,ADDR.MAIL.STATE,ADDR.MAIL.ZIP,QualtricsLink,ShortURL,Code,CustomLink,mailReturn,onlineDifficulty,noInternet,Notes
AIR MARINE COMPANY INC,PO BOX 8944              ,                         ,KETCHIKAN           ,AK,99901,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_4O71ExPII743VTT&Q_CHL=gl,,LN222776,https://short.iseralaska.org/LN222776,,,,
AK BOAT RENTAL,12152 E PAUL AVE         ,                         ,CLOVIS              ,CA,93619,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_6M9jfw5HxgH5yol&Q_CHL=gl,,DT667352,https://short.iseralaska.org/DT667352,,,,
AK RECREATIONAL MGMT,3705 ARCTIC BLVD #2337   ,                         ,ANCHORAGE           ,AK,99503,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_0VWQuenK6dtWEC1&Q_CHL=gl,,JX249384,https://short.iseralaska.org/JX249384,,,,
ALASKA BUSH ADVENTURES LLC,4236 HORIZON AVE         ,                         ,ANCHORAGE           ,AK,99517,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_cRMVOpxob8eE0KN&Q_CHL=gl,,AK954407,https://short.iseralaska.org/AK954407,1,,,
ALASKA CANOE EXPERIENCE LLC,716 TOTEM WAY            ,,KETCHIKAN           ,AK,99901,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_bj7OIhIehG0cZpj&Q_CHL=gl,,XU546023,https://short.iseralaska.org/XU546023,,,,
ALASKA CHADUX CORP,2347 AZURITE CT          ,                         ,ANCHORAGE           ,AK,99507,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_9mDgyCaTQNxFLQV&Q_CHL=gl,,VC539356,https://short.iseralaska.org/VC539356,,,,
ALASKA DNR/DPOR,PO BOX 1247              ,                         ,SOLDOTNA            ,AK,99669,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_6gqSLT3TNaPCWON&Q_CHL=gl,,GB674334,https://short.iseralaska.org/GB674334,,,,
ALASKA QUEST CHARTERS INC,PO BOX 35422             ,                         ,JUNEAU              ,AK,99803,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_1ZE1y1QnTSH6s5f&Q_CHL=gl,,SM799413,https://short.iseralaska.org/SM799413,,,,
ALASKA RAFT CONNESTION LLC,4235 AIRCRAFT DR D       ,                         ,ANCHORAGE           ,AK,99502,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_4ZoCch2FF8fv0VL&Q_CHL=gl,,VD101718,https://short.iseralaska.org/VD101718,,,,
ALASKA RAILROAD,PO BOX 107500            ,                         ,ANCHORAGE           ,AK,99510,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_81H5IppBOGdgzpb&Q_CHL=gl,,NS694729,https://short.iseralaska.org/NS694729,,,,
ALASKA SAFARI INC,PO BOX 190583            ,                         ,ANCHORAGE           ,AK,99519,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_aYwwrVEP6YyNVE9&Q_CHL=gl,,AA675248,https://short.iseralaska.org/AA675248,,,,
ALASKA SAILING CLUB,PO BOX 92554             ,                         ,ANCHORAGE           ,AK,99509,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_6hxGKJHFTtziPvD&Q_CHL=gl,,VO879695,https://short.iseralaska.org/VO879695,,,,
ALASKA SPORTSMANS LODGE,PO BOX 221               ,                         ,KING SALMON         ,AK,99613,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_2uGs1OIeCLOJzQV&Q_CHL=gl,,OE775637,https://short.iseralaska.org/OE775637,,,,
